source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_n_cells,target_n_cells,min_source_target_n_cells
Plasma cell cycling,NK cells,CD59,CD2,0.7179338,0.0,0.4879832,0.7299884,0.62604785,0.004554619,0.9300386,0.039502323917205,0.2121983121538163,72,163,72
Plasma cell cycling,ILC3,CD48,CD2,0.7179084,0.0,0.5150251,0.62122124,0.6524235,0.002254873,0.93177307,0.2099993913858522,0.2122194290802483,72,23,23
cDC migratory,T cells proliferating,LGALS9,PTPRC,0.71783674,0.0,0.29412237,0.6317533,0.51090574,0.0014689371,0.91166526,0.4094090666984918,0.2122616656373606,14,40,14
TA cells,NK cells,ADAM9,ITGB1,0.0979221,0.993,0.009390311,-0.07053377,-0.11695959,0.00048818736,0.64839244,1.0,0.2122717561769788,5824,163,163
Monocytes inflammatory,Tc effector,CD48,CD2,0.7178159,0.0,0.3555447,0.6098721,0.60225403,0.001556639,0.9190097,0.4613042683412468,0.2122827852679947,50,13119,50
Treg,Monocytes inflammatory,CD59,STAB1,0.09778905,1.0,0.009390708,-0.09167487,-0.22704092,0.00031051206,0.64839727,1.0,0.2123455882881706,449,50,50
Stem cells,Th memory,CD59,CD2,0.7177417,0.0,0.37241355,0.7035531,0.57762504,0.003475943,0.9207181,0.053447047465386,0.2123461495679329,2790,8461,2790
Monocytes,Capillary endothelial cells,PSAP,SORT1,0.98977524,0.0,0.25520584,1.2136555,1.088821,0.00664367,0.9057811,0.039502323917205,0.2123989593475796,767,5,5
Monocytes,Neutrophils,PSAP,LRP1,0.98977524,0.0,0.25520584,1.2549217,1.0996629,0.0062460117,0.9057811,0.039502323917205,0.2123989593475796,767,5,5
cDC2,Tuft cells,CXCL12,SDC4,0.097824514,0.0,0.0093911495,0.24138701,0.09063179,0.0029357818,0.64840263,0.6947269346000664,0.2124194190957374,203,288,203
Macrophages IFN-activated,T cells proliferating,HLA-DPB1,CD4,1.4432157,0.0,0.24258314,1.4416585,1.6751764,0.0016301798,0.9035942,0.0924739213257803,0.212421204488092,818,40,40
Th naive,Treg,VIM,CD44,0.7176837,0.0,0.4748558,0.3497057,0.06939024,0.0012068271,0.9291462,0.8394867789016106,0.2124306479190747,1182,449,449
B cell cycling,NK cells,HLA-B,CD8A,0.7176718,1.0,0.46556887,0.044779837,-0.5750239,0.0017019332,0.92849326,1.0,0.2124517747599015,224,163,163
Capillary endothelial cells,NK cells,HLA-A,CD8A,0.717659,0.73,0.4655562,0.22489071,-0.19386494,0.002179627,0.92849237,1.0,0.2124729025018988,5,163,5
Macrophages immature,B cell memory,ADAM17,ITGB1,0.097145,1.0,0.009392347,-0.03337451,-0.10458022,0.00040647003,0.6484172,1.0,0.2124932485996905,551,5004,551
Th17,cDC2,VIM,CD44,0.71761453,0.0,0.46161556,0.3336241,0.15486658,0.0011731775,0.92820966,0.8809212444864819,0.2124940311450435,3171,203,203
B cell germinal center,Tc effector,B2M,KLRC1,1.236788,1.0,0.25514933,-0.15406054,-0.7800199,0.0026744877,0.9057717,1.0,0.2125151606893127,1063,13119,1063
Tc effector,Plasma cell,HMGB1,SDC1,0.7175806,0.0,0.49046972,0.31705984,-0.02817452,0.003745012,0.93020374,1.0,0.2125362911346834,13119,21820,13119
Goblet cells,B cell naive,FAM3C,LAMP1,0.09955105,1.0,0.009394072,-0.25924742,-0.2684462,0.00023981894,0.6484381,1.0,0.2125670768000416,9555,3019,3019
cDC migratory,NK cells,HLA-C,CD8B,0.71748674,0.776,0.4593602,0.25874314,-0.2664715,0.002615011,0.92804635,1.0,0.2125785547286369,14,163,14
Goblet cells,Capillary endothelial cells,HMGB1,CXCR4,0.71747774,0.479,0.32098165,-0.02139415,-0.013969183,0.0004309004,0.9151213,1.0,0.2125996878771739,9555,5,5
B cell cycling,Tc,CD48,CD2,0.71747184,0.0,0.34390402,0.60880226,0.47916448,0.0015056739,0.91776216,0.4633084756828802,0.2126208219267201,224,6712,224
Colonocytes,Colonocytes,LAMA1,CD44,0.09692768,1.0,0.009394259,0.003095448,-0.12896106,0.001077371,0.6484404,1.0,0.2126409036968021,12656,12656,12656
Macrophages IFN-activated,Th naive,HLA-DPB1,CD4,1.4430015,0.0,0.24138409,1.4408104,1.679717,0.001622122,0.9033782,0.092661669522879,0.212642690902633,818,1182,818
Treg,Neutrophils,CALM1,FAS,0.71747035,0.017,0.32097757,0.6608813,0.087251306,0.0044385227,0.91512084,0.9274473009777682,0.2126525246903817,449,5,5
Treg,Neutrophils,CALM1,PTPRA,0.71747035,0.123,0.32097757,0.2752383,0.008316338,0.0017671608,0.91512084,1.0,0.2126525246903817,449,5,5
Colonocytes,Macrophages IFN-activated,LGALS3,LAG3,1.1661218,0.0,0.2550823,0.6160195,0.8493648,0.00400064,0.90576047,0.0497188098113806,0.2126630927287487,12656,818,818
Tc,Colonocytes BEST4,CCL5,SDC4,1.1629915,0.0,0.25506696,1.0175326,1.1624467,0.0074037183,0.90575784,0.039502323917205,0.2126842294811849,6712,338,338
